variety,points
Grüner Veltliner,90
Gamay,87
Nebbiolo,90
Cabernet Sauvignon,94
Sauvignon Blanc,89
Rhône-style Red Blend,88
Rhône-style White Blend,89
Mencía,86
Sparkling Blend,88
Pinotage,92
Ribolla Gialla,87
Nebbiolo,94
Bordeaux-style Red Blend,91q
Red Blend,89
Vernaccia,87
Riesling,88
Sauvignon Blanc,88
Red Blend,88
Chardonnay,85
Petit Verdot,86
Pinot Gris,83
Portuguese Red,88
Bordeaux-style Red Blend,93
Sparkling Blend,91
Syrah,91
Grüner Veltliner,90
Pinot Noir,87
Chardonnay,84
Pinot Noir,88
Gewürztraminer,84
Red Blend,88
Chenin Blanc,91
Red Blend,85
Chardonnay,95
Pinot Noir,93
Pinot Noir,84
Chardonnay,91
Sauvignon Blanc,85
Barbera,83
Pinot Noir,91
Carmenère,88
Cabernet Sauvignon,87
Cabernet Franc,91
Nebbiolo,92
Chardonnay,92
Sangiovese Grosso,90
Torrontés,81
Red Blend,88
Rhône-style Red Blend,90
Portuguese Red,86
Bordeaux-style Red Blend,92
Vermentino,86
Pinot Gris,90
Pinot Grigio,87
Chardonnay,95
Chardonnay,90
Pinot Noir,87
Sangiovese,89
Red Blend,92
Shiraz,85
Sangiovese,92
Cabernet Sauvignon,88
Cabernet Sauvignon,81
Sauvignon Blanc,88
Sangiovese,88
Dolcetto,87
Sparkling Blend,87
Riesling,88
Rhône-style Red Blend,87
Grüner Veltliner,86
Rosé,84
Syrah,88
Merlot,85
Cabernet Sauvignon,94
Pinot Gris,85
Syrah,91
Rosé,91
Pinot Grigio,90
Bordeaux-style Red Blend,92
Bordeaux-style Red Blend,92
Syrah,86
Tempranillo Blend,90
Chardonnay,92
Sangiovese Grosso,95
Sauvignon Blanc,85
Riesling,86
Pinot Noir,88
Chardonnay,90
Sangiovese Grosso,88
Red Blend,94
Portuguese White,87
Nebbiolo,86
Merlot,91
Mourvèdre,91
Pinot Noir,88
Riesling,85
Sparkling Blend,94
Zweigelt,87
St. Laurent,87
Pinot Noir,91
Sangiovese Grosso,93
Rhône-style Red Blend,88
Pinot Gris,87
Sauvignon Blanc,86
Grenache,86
Red Blend,82
Red Blend,84
Cabernet Sauvignon,90
Pinot Noir,90
Malbec,91
Nero d'Avola,84
Zweigelt,86
Riesling,86
Pinot Noir,90
Pinot Noir,94
Red Blend,86
Friulano,88
Portuguese Red,88
Tempranillo Blend,90
Riesling,89
Pinot Noir,90
Bordeaux-style Red Blend,88
Pinot Noir,84
Cabernet Sauvignon,88
Negroamaro,88
Sauvignon Blanc,86
Malbec,91
Rosato,88
Cabernet Sauvignon,87
Sangiovese,89
Sauvignon Blanc,90
Sauvignon Blanc,87
Riesling,90
Red Blend,86
Tempranillo,88
Tempranillo,83
Cabernet Sauvignon,93
Cabernet Franc,90
Portuguese Red,86
Barbera,88
Bordeaux-style Red Blend,88
Cabernet Sauvignon,84
Chardonnay,88
Cabernet Franc,91
Riesling,87
Riesling,89
Portuguese White,86
Red Blend,89
Torrontés,85
Bordeaux-style Red Blend,85
White Blend,82
Cabernet Sauvignon,91
Montepulciano,87
Pinot Blanc,89
Red Blend,89
Cabernet Sauvignon,84
Rosé,87
Portuguese White,91
Monastrell-Petit Verdot,87
Red Blend,91
White Blend,88
Cabernet Sauvignon,86
Pinot Gris,88
Blaufränkisch,85
Cabernet Franc,91
Cabernet Sauvignon,85
Bordeaux-style Red Blend,86
Merlot,86
Sparkling Blend,87
Rhône-style Red Blend,87
Riesling,86
Cabernet Sauvignon,93
Pinot Blanc,84
Cabernet Sauvignon,85
Chardonnay,88
Tannat,88
Malbec,85
Chardonnay,86
Meritage,92
Red Blend,86
Viognier,84
Pinot Noir,87
Chardonnay,89
Chardonnay,94
Pinot Noir,93
Riesling,87
Riesling,92
Alvarinho,88
Bordeaux-style Red Blend,88
Cabernet Sauvignon,84
Bordeaux-style White Blend,87
Sauvignon Blanc,88
Grüner Veltliner,87
Sangiovese Grosso,94
Chardonnay,86
Rhône-style Red Blend,87
Red Blend,95
Pinot Noir,85
Pinot Grigio,86
Chardonnay,89
Cabernet Sauvignon,87
Sangiovese Grosso,88
Alvarinho-Chardonnay,87
Prosecco,87
Bordeaux-style Red Blend,90
Pinot Noir,90
Red Blend,88
Cabernet Sauvignon,93
Sauvignon Blanc,89
Portuguese Red,92
Syrah,91
Blaufränkisch,92
Tempranillo-Garnacha,87
Sauvignon Blanc,85
Pinot Noir,90
Pinot Blanc,88
Cabernet Sauvignon,92
Pinot Noir,91
Pinot Noir,95
Cabernet Sauvignon,94
Bordeaux-style Red Blend,86
Rosé,80
Sangiovese,83
Merlot,88
Pinot Grigio,87
Bordeaux-style Red Blend,89
Sauvignon Blanc,90
Sauvignon Blanc,85
Cabernet Sauvignon,91
Nebbiolo,87
Sangiovese,88
Viognier,88
Syrah,93
Chardonnay,89
Sangiovese,86
Red Blend,87
Cabernet Sauvignon,89
Portuguese Red,87
Pinot Noir,93
Pinot Noir,92
Cabernet Sauvignon,88
Red Blend,83
Syrah,86
Cabernet Franc,88
Port,93
Portuguese Red,93
Red Blend,93
Petit Manseng,93
Bordeaux-style White Blend,90
Viognier,93
Alvarinho,85
White Blend,95
Sangiovese Grosso,88
Riesling,85
Pinot Noir,90
Chardonnay,90
Syrah,92
Viognier-Chardonnay,84
